timestamp,pod,function,cpu_millicores,memory_mib
1775161702,orchestrator-9696d4c9-v6h68,orchestrator,1,108
1775161702,stage-deepspeech-7c7597dbb9-qfmcn,stage-deepspeech,1,67
1775161702,stage-ffmpeg-0-5c88f7c889-q7nsq,stage-ffmpeg-0,1,80
1775161702,stage-ffmpeg-1-6958b695f5-mqs9q,stage-ffmpeg-1,1,85
1775161702,stage-ffmpeg-2-74bc5fcb57-jpdl8,stage-ffmpeg-2,1,77
1775161702,stage-ffmpeg-3-57d65c9bdf-rr7kf,stage-ffmpeg-3,1,58
1775161702,stage-librosa-85bd4b64d5-j7jrf,stage-librosa,1,307
1775161702,stage-object-detector-5d6f68c89-q7jbj,stage-object-detector,1,264
1775161710,orchestrator-9696d4c9-v6h68,orchestrator,1,108
1775161710,stage-deepspeech-7c7597dbb9-qfmcn,stage-deepspeech,1,67
1775161710,stage-ffmpeg-0-5c88f7c889-q7nsq,stage-ffmpeg-0,1,80
1775161710,stage-ffmpeg-1-6958b695f5-mqs9q,stage-ffmpeg-1,1,85
1775161710,stage-ffmpeg-2-74bc5fcb57-jpdl8,stage-ffmpeg-2,1,77
1775161710,stage-ffmpeg-3-57d65c9bdf-rr7kf,stage-ffmpeg-3,1,58
1775161710,stage-librosa-85bd4b64d5-j7jrf,stage-librosa,1,307
1775161710,stage-object-detector-5d6f68c89-q7jbj,stage-object-detector,1,264
1775161717,orchestrator-9696d4c9-v6h68,orchestrator,1,108
1775161717,stage-deepspeech-7c7597dbb9-qfmcn,stage-deepspeech,1,67
1775161717,stage-ffmpeg-0-5c88f7c889-q7nsq,stage-ffmpeg-0,1,80
1775161717,stage-ffmpeg-1-6958b695f5-mqs9q,stage-ffmpeg-1,1,85
1775161717,stage-ffmpeg-2-74bc5fcb57-jpdl8,stage-ffmpeg-2,1,77
1775161717,stage-ffmpeg-3-57d65c9bdf-rr7kf,stage-ffmpeg-3,1,58
1775161717,stage-librosa-85bd4b64d5-j7jrf,stage-librosa,1,307
1775161717,stage-object-detector-5d6f68c89-q7jbj,stage-object-detector,1,264
1775161725,orchestrator-9696d4c9-v6h68,orchestrator,11,108
1775161725,stage-deepspeech-7c7597dbb9-qfmcn,stage-deepspeech,1,67
1775161725,stage-ffmpeg-0-5c88f7c889-q7nsq,stage-ffmpeg-0,75,76
1775161725,stage-ffmpeg-1-6958b695f5-mqs9q,stage-ffmpeg-1,26,85
1775161725,stage-ffmpeg-2-74bc5fcb57-jpdl8,stage-ffmpeg-2,26,77
1775161725,stage-ffmpeg-3-57d65c9bdf-rr7kf,stage-ffmpeg-3,35,58
1775161725,stage-librosa-85bd4b64d5-j7jrf,stage-librosa,71,312
1775161725,stage-object-detector-5d6f68c89-q7jbj,stage-object-detector,5,264
1775161733,orchestrator-9696d4c9-v6h68,orchestrator,11,108
1775161733,stage-deepspeech-7c7597dbb9-qfmcn,stage-deepspeech,1,67
1775161733,stage-ffmpeg-0-5c88f7c889-q7nsq,stage-ffmpeg-0,75,76
1775161733,stage-ffmpeg-1-6958b695f5-mqs9q,stage-ffmpeg-1,26,85
1775161733,stage-ffmpeg-2-74bc5fcb57-jpdl8,stage-ffmpeg-2,26,77
1775161733,stage-ffmpeg-3-57d65c9bdf-rr7kf,stage-ffmpeg-3,35,58
1775161733,stage-librosa-85bd4b64d5-j7jrf,stage-librosa,71,312
1775161733,stage-object-detector-5d6f68c89-q7jbj,stage-object-detector,5,264
1775161740,orchestrator-9696d4c9-v6h68,orchestrator,1,108
1775161740,stage-deepspeech-7c7597dbb9-qfmcn,stage-deepspeech,5,67
1775161740,stage-ffmpeg-0-5c88f7c889-q7nsq,stage-ffmpeg-0,1,76
1775161740,stage-ffmpeg-1-6958b695f5-mqs9q,stage-ffmpeg-1,1,85
1775161740,stage-ffmpeg-2-74bc5fcb57-jpdl8,stage-ffmpeg-2,26,77
1775161740,stage-ffmpeg-3-57d65c9bdf-rr7kf,stage-ffmpeg-3,1,58
1775161740,stage-librosa-85bd4b64d5-j7jrf,stage-librosa,1,312
1775161740,stage-object-detector-5d6f68c89-q7jbj,stage-object-detector,1,264
1775161748,orchestrator-9696d4c9-v6h68,orchestrator,1,108
1775161748,stage-deepspeech-7c7597dbb9-qfmcn,stage-deepspeech,5,67
1775161748,stage-ffmpeg-0-5c88f7c889-q7nsq,stage-ffmpeg-0,1,76
1775161748,stage-ffmpeg-1-6958b695f5-mqs9q,stage-ffmpeg-1,1,85
1775161748,stage-ffmpeg-2-74bc5fcb57-jpdl8,stage-ffmpeg-2,26,77
1775161748,stage-ffmpeg-3-57d65c9bdf-rr7kf,stage-ffmpeg-3,1,58
1775161748,stage-librosa-85bd4b64d5-j7jrf,stage-librosa,1,312
1775161748,stage-object-detector-5d6f68c89-q7jbj,stage-object-detector,1,264
1775161756,orchestrator-9696d4c9-v6h68,orchestrator,1,108
1775161756,stage-deepspeech-7c7597dbb9-qfmcn,stage-deepspeech,1,67
1775161756,stage-ffmpeg-0-5c88f7c889-jxkcg,stage-ffmpeg-0,60,31
1775161756,stage-ffmpeg-0-5c88f7c889-q7nsq,stage-ffmpeg-0,1,76
1775161756,stage-ffmpeg-1-6958b695f5-mqs9q,stage-ffmpeg-1,1,85
1775161756,stage-ffmpeg-2-74bc5fcb57-jpdl8,stage-ffmpeg-2,1,77
1775161756,stage-ffmpeg-3-57d65c9bdf-rr7kf,stage-ffmpeg-3,1,58
1775161756,stage-librosa-85bd4b64d5-j7jrf,stage-librosa,1,312
1775161756,stage-librosa-85bd4b64d5-xpcwz,stage-librosa,996,151
1775161756,stage-object-detector-5d6f68c89-q7jbj,stage-object-detector,1,264
1775161764,orchestrator-9696d4c9-v6h68,orchestrator,1,108
1775161764,stage-deepspeech-7c7597dbb9-qfmcn,stage-deepspeech,1,67
1775161764,stage-ffmpeg-0-5c88f7c889-jxkcg,stage-ffmpeg-0,60,31
1775161764,stage-ffmpeg-0-5c88f7c889-q7nsq,stage-ffmpeg-0,1,76
1775161764,stage-ffmpeg-1-6958b695f5-mqs9q,stage-ffmpeg-1,1,85
1775161764,stage-ffmpeg-2-74bc5fcb57-jpdl8,stage-ffmpeg-2,1,77
1775161764,stage-ffmpeg-3-57d65c9bdf-rr7kf,stage-ffmpeg-3,1,58
1775161764,stage-librosa-85bd4b64d5-j7jrf,stage-librosa,1,312
1775161764,stage-librosa-85bd4b64d5-xpcwz,stage-librosa,996,151
1775161764,stage-object-detector-5d6f68c89-q7jbj,stage-object-detector,1,264
1775161771,orchestrator-9696d4c9-v6h68,orchestrator,1,108
1775161771,stage-deepspeech-7c7597dbb9-qfmcn,stage-deepspeech,1,67
1775161771,stage-ffmpeg-0-5c88f7c889-jxkcg,stage-ffmpeg-0,1,31
1775161771,stage-ffmpeg-0-5c88f7c889-q7nsq,stage-ffmpeg-0,1,76
1775161771,stage-ffmpeg-1-6958b695f5-mqs9q,stage-ffmpeg-1,1,85
1775161771,stage-ffmpeg-2-74bc5fcb57-jpdl8,stage-ffmpeg-2,1,77
1775161771,stage-ffmpeg-3-57d65c9bdf-rr7kf,stage-ffmpeg-3,1,58
1775161771,stage-librosa-85bd4b64d5-j7jrf,stage-librosa,1,312
1775161771,stage-librosa-85bd4b64d5-xpcwz,stage-librosa,73,153
1775161771,stage-object-detector-5d6f68c89-q7jbj,stage-object-detector,1,264
1775161779,orchestrator-9696d4c9-v6h68,orchestrator,1,108
1775161779,stage-deepspeech-7c7597dbb9-qfmcn,stage-deepspeech,1,67
1775161779,stage-ffmpeg-0-5c88f7c889-jxkcg,stage-ffmpeg-0,1,31
1775161779,stage-ffmpeg-0-5c88f7c889-q7nsq,stage-ffmpeg-0,1,76
1775161779,stage-ffmpeg-1-6958b695f5-mqs9q,stage-ffmpeg-1,1,85
1775161779,stage-ffmpeg-2-74bc5fcb57-jpdl8,stage-ffmpeg-2,1,77
1775161779,stage-ffmpeg-3-57d65c9bdf-rr7kf,stage-ffmpeg-3,1,58
1775161779,stage-librosa-85bd4b64d5-j7jrf,stage-librosa,1,312
1775161779,stage-librosa-85bd4b64d5-xpcwz,stage-librosa,73,153
1775161779,stage-object-detector-5d6f68c89-q7jbj,stage-object-detector,1,264
1775161787,orchestrator-9696d4c9-v6h68,orchestrator,1,108
1775161787,stage-deepspeech-7c7597dbb9-qfmcn,stage-deepspeech,1,67
1775161787,stage-ffmpeg-0-5c88f7c889-jxkcg,stage-ffmpeg-0,1,31
1775161787,stage-ffmpeg-0-5c88f7c889-q7nsq,stage-ffmpeg-0,1,76
1775161787,stage-ffmpeg-1-6958b695f5-mqs9q,stage-ffmpeg-1,1,85
1775161787,stage-ffmpeg-2-74bc5fcb57-jpdl8,stage-ffmpeg-2,1,77
1775161787,stage-ffmpeg-3-57d65c9bdf-rr7kf,stage-ffmpeg-3,1,58
1775161787,stage-librosa-85bd4b64d5-b7mlk,stage-librosa,631,153
1775161787,stage-librosa-85bd4b64d5-j7jrf,stage-librosa,1,312
1775161787,stage-librosa-85bd4b64d5-x6wh9,stage-librosa,995,147
